TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
SNGS,1,20171114,100000,29.935,29.97,29.9,29.9,32800
SNGS,1,20171115,100000,30.19,30.325,30.19,30.3,108600
SNGS,1,20171116,100000,29.46,29.465,29.25,29.38,184800
SNGS,1,20171117,100000,29.02,29.06,28.9,28.915,55200
SNGS,1,20171120,100000,29.085,29.1,29.085,29.1,4600
SNGS,1,20171121,100000,29.49,29.6,29.49,29.6,23800
SNGS,1,20171122,100000,29.41,29.41,29.16,29.225,39200
SNGS,1,20171123,100000,29.155,29.155,29.115,29.125,21700
SNGS,1,20171124,100000,29.18,29.215,29.18,29.19,91800
SNGS,1,20171127,100000,29.37,29.37,29.185,29.185,41700
SNGS,1,20171128,100000,28.9,28.95,28.895,28.945,14200
SNGS,1,20171129,100000,28.93,29.045,28.865,29.045,93100
SNGS,1,20171130,100000,28.2,28.2,28.125,28.155,20300
SNGS,1,20171201,100000,27.505,27.51,27.37,27.4,40200
SNGS,1,20171204,100000,27.695,27.695,27.445,27.675,76700
SNGS,1,20171205,100000,27.415,27.415,27.34,27.34,33500
SNGS,1,20171206,100000,27.28,27.29,27.215,27.265,36800
SNGS,1,20171207,100000,27.905,28.085,27.73,27.775,117600
SNGS,1,20171208,100000,27.79,28.0,27.79,27.805,90700
SNGS,1,20171211,100000,27.595,27.595,27.595,27.595,700
SNGS,1,20171212,100000,28.825,28.88,28.815,28.88,113300
SNGS,1,20171213,100000,28.9,28.92,28.86,28.86,27800
SNGS,1,20171214,100000,29.005,29.195,28.99,29.145,173000
SNGS,1,20171215,100000,29.25,29.255,29.15,29.155,28700
SNGS,1,20171218,100000,29.0,29.04,28.925,29.035,24300
SNGS,1,20171219,100000,28.635,28.76,28.635,28.76,12200
SNGS,1,20171220,100000,28.32,28.4,28.32,28.4,1900
SNGS,1,20171221,100000,28.085,28.09,28.035,28.09,71200
SNGS,1,20171222,100000,28.075,28.185,28.05,28.1,18400
SNGS,1,20171225,100000,28.235,28.235,28.235,28.235,400
SNGS,1,20171226,100000,27.705,27.795,27.615,27.755,5200
SNGS,1,20171227,100000,27.595,27.62,27.52,27.59,5900
SNGS,1,20171228,100000,27.59,27.735,27.55,27.57,40300
SNGS,1,20171229,100000,28.05,28.07,27.89,27.895,41600
SNGS,1,20180103,100000,27.9,27.905,27.86,27.86,11000
SNGS,1,20180104,100000,27.95,28.08,27.95,27.955,75600
SNGS,1,20180105,100000,28.11,28.11,28.11,28.11,1400
SNGS,1,20180109,100000,28.38,28.47,28.2,28.32,86700
SNGS,1,20180110,100000,28.395,28.415,28.325,28.395,36900
SNGS,1,20180111,100000,28.4,28.42,28.34,28.42,15500
SNGS,1,20180115,100000,28.895,28.895,28.755,28.76,112800
SNGS,1,20180116,100000,28.775,28.775,28.75,28.75,28100
SNGS,1,20180117,100000,29.17,29.17,28.845,29.05,181000
SNGS,1,20180118,100000,29.875,29.91,29.805,29.88,28100
SNGS,1,20180119,100000,30.395,30.5,30.36,30.47,105400
SNGS,1,20180122,100000,30.2,30.26,30.085,30.14,42600
SNGS,1,20180123,100000,30.33,30.41,30.33,30.37,128500
SNGS,1,20180124,100000,30.01,30.02,30.01,30.02,3000
SNGS,1,20180125,100000,30.43,30.465,30.365,30.405,94900
SNGS,1,20180126,100000,30.775,30.79,30.735,30.775,13900
SNGS,1,20180129,100000,30.23,30.27,29.805,30.085,288500
SNGS,1,20180130,100000,30.625,30.625,30.41,30.415,57700
SNGS,1,20180131,100000,30.015,30.03,29.965,30.005,14900
SNGS,1,20180201,100000,28.82,28.895,28.82,28.88,53300
SNGS,1,20180202,100000,29.15,29.195,28.985,29.175,92700
SNGS,1,20180205,100000,28.7,28.755,28.68,28.72,22700
SNGS,1,20180206,100000,29.225,29.26,29.075,29.26,244300
SNGS,1,20180207,100000,28.75,28.89,28.74,28.87,83100
SNGS,1,20180208,100000,29.23,29.23,29.105,29.135,165100
SNGS,1,20180209,100000,28.685,28.7,28.665,28.665,147100
SNGS,1,20180212,100000,28.49,28.49,28.405,28.405,46100
SNGS,1,20180213,100000,28.35,28.385,28.27,28.325,74800
SNGS,1,20180214,100000,28.45,28.49,28.37,28.375,63200
SNGS,1,20180215,100000,28.305,28.36,28.3,28.36,62000
SNGS,1,20180216,100000,28.315,28.375,28.305,28.375,52600
SNGS,1,20180219,100000,28.55,28.55,28.55,28.55,400
SNGS,1,20180220,100000,28.345,28.44,28.26,28.37,136200
SNGS,1,20180221,100000,28.35,28.35,28.3,28.305,16800
